Date,Unemployment Rate,Feds Funds,Industrial Production,Leading Index,Housing Starts,Building Permits,Consumer Sentiment,Close
7/1/2000,4,6.54,92.8458,0.99,1463,1542,108.3,147.3
8/1/2000,4.1,6.5,92.5972,1.05,1541,1552,107.3,143.9
9/1/2000,3.9,6.52,92.9653,1.06,1507,1570,106.8,152.5
10/1/2000,3.9,6.51,92.6418,1.19,1549,1577,105.8,143.8
11/1/2000,3.9,6.51,92.6618,0.97,1551,1614,107.6,142.5
12/1/2000,3.9,6.4,92.3459,0.8,1532,1543,98.4,132.2
1/1/2001,4.2,5.98,91.8903,0.95,1600,1699,94.7,135.1
2/1/2001,4.2,5.49,91.2915,0.66,1625,1656,90.6,137.9
3/1/2001,4.3,5.31,91.0526,0.46,1590,1659,91.5,124.6
4/1/2001,4.4,4.8,90.7293,0.26,1649,1666,88.4,114.2
5/1/2001,4.3,4.21,90.2577,0.44,1605,1665,92,127.1
6/1/2001,4.5,3.97,89.7677,0.6,1636,1626,92.6,126.7
7/1/2001,4.6,3.77,89.226,0.28,1670,1598,92.4,124.1
8/1/2001,4.9,3.65,89.1326,0.39,1567,1615,91.5,122.1
9/1/2001,5,3.07,88.6679,-0.08,1562,1565,81.8,113.2
10/1/2001,5.3,2.49,88.3926,-0.32,1540,1566,82.7,104.3
11/1/2001,5.5,2.09,87.8774,-0.4,1602,1651,83.9,108.5
12/1/2001,5.7,1.82,87.8344,-0.05,1568,1680,88.8,113.4
1/1/2002,5.7,1.73,88.4665,0.53,1698,1665,93,113.0
2/1/2002,5.7,1.74,88.4661,0.71,1829,1787,90.7,112.7
3/1/2002,5.7,1.73,89.1228,0.51,1642,1691,95.7,113.7
4/1/2002,5.9,1.75,89.5532,0.61,1592,1669,93,114.6
5/1/2002,5.8,1.75,89.934,0.73,1764,1716,96.9,109.2
6/1/2002,5.8,1.75,90.6769,0.99,1717,1758,92.4,104.4
7/1/2002,5.8,1.73,90.6455,1.12,1655,1738,88.1,97.0
8/1/2002,5.7,1.74,90.5475,0.91,1633,1695,87.6,88.8
9/1/2002,5.7,1.75,90.6381,0.97,1804,1803,86.1,87.2
10/1/2002,5.7,1.75,90.4041,0.88,1648,1799,80.6,85.7
11/1/2002,5.9,1.34,90.8985,0.72,1753,1771,84.2,90.3
12/1/2002,6,1.24,90.389,0.66,1788,1896,86.7,94.1
1/1/2003,5.8,1.24,91.1355,0.91,1853,1808,82.4,90.2
2/1/2003,5.9,1.26,91.2502,0.69,1629,1854,79.9,86.2
3/1/2003,5.9,1.25,91.0059,0.47,1726,1757,77.6,84.1
4/1/2003,6,1.26,90.4281,0.26,1643,1803,86,86.0
5/1/2003,6.1,1.26,90.4073,0.47,1751,1835,92.1,91.9
6/1/2003,6.3,1.22,90.5218,0.56,1867,1875,89.7,97.3
7/1/2003,6.2,1.01,90.9896,0.93,1897,1885,90.9,98.5
8/1/2003,6.1,1.03,90.7858,1.13,1833,1966,89.3,98.5
9/1/2003,6.1,1.01,91.3829,1.49,1939,1961,87.7,100.3
10/1/2003,6,1.01,91.5005,1.56,1967,2012,89.6,102.1
11/1/2003,5.8,1,92.1265,1.53,2083,1918,93.7,106.0
12/1/2003,5.7,0.98,92.1722,1.78,2057,1987,92.6,107.6
1/1/2004,5.7,1,92.327,1.51,1911,1952,103.8,110.8
2/1/2004,5.6,1.01,92.8873,1.47,1846,1966,94.4,114.0
3/1/2004,5.8,1,92.5325,1.61,1998,2066,95.8,116.2
4/1/2004,5.6,1,92.9096,1.64,2003,2070,94.2,113.8
5/1/2004,5.6,1,93.5838,1.8,1981,2150,90.2,112.2
6/1/2004,5.6,1.03,92.8621,1.53,1828,2020,95.6,112.7
7/1/2004,5.5,1.26,93.5511,1.57,2002,2112,96.7,112.9
8/1/2004,5.4,1.43,93.6328,1.47,2024,2056,95.9,111.1
9/1/2004,5.4,1.61,93.7418,1.38,1905,2041,94.2,111.3
10/1/2004,5.5,1.76,94.5671,1.38,2072,2097,91.7,113.7
11/1/2004,5.4,1.93,94.8,1.5,1782,2079,92.8,113.5
12/1/2004,5.4,2.16,95.5426,1.37,2042,2082,97.1,119.2
1/1/2005,5.3,2.28,95.8831,1.16,2144,2139,95.5,120.3
2/1/2005,5.4,2.5,96.5616,1.54,2207,2114,94.1,118.9
3/1/2005,5.2,2.63,96.4371,1.39,1864,2062,92.6,121.2
4/1/2005,5.2,2.79,96.628,1.64,2061,2150,87.7,117.4
5/1/2005,5.1,3,96.7306,1.31,2025,2085,86.9,116.4
6/1/2005,5,3.04,97.1488,1.67,2068,2178,96,120.5
7/1/2005,5,3.26,96.8383,1.68,2054,2203,96.5,119.5
8/1/2005,4.9,3.5,97.1603,1.78,2095,2219,89.1,123.7
9/1/2005,5,3.62,95.2729,1.3,2151,2263,76.9,122.5
10/1/2005,5,3.78,96.4383,1.35,2065,2170,74.2,122.6
11/1/2005,5,4,97.4951,1.51,2147,2218,81.6,120.5
12/1/2005,4.9,4.16,97.9788,1.7,1994,2120,91.5,126.7
1/1/2006,4.7,4.29,98.1305,1.85,2273,2212,91.2,127.5
2/1/2006,4.8,4.49,98.1779,1.62,2119,2141,86.7,128.4
3/1/2006,4.7,4.59,98.3898,1.58,1969,2118,88.9,129.4
4/1/2006,4.7,4.79,98.6769,1.43,1821,1998,87.4,129.7
5/1/2006,4.6,4.94,98.7052,1.08,1942,1905,79.1,130.4
6/1/2006,4.6,4.99,99.0427,1.13,1802,1867,84.9,128.7
7/1/2006,4.7,5.24,98.9804,0.72,1737,1763,84.7,127.8
8/1/2006,4.7,5.25,99.4106,1.01,1650,1722,82,127.2
9/1/2006,4.5,5.25,99.2207,0.88,1720,1655,85.4,131.4
10/1/2006,4.4,5.25,99.1253,1.08,1491,1570,93.6,133.1
11/1/2006,4.5,5.25,99.0969,0.82,1570,1535,92.1,136.9
12/1/2006,4.4,5.24,100.1122,1,1649,1638,91.7,140.2
1/1/2007,4.6,5.25,99.7571,1.28,1409,1626,96.9,142.4
2/1/2007,4.5,5.26,100.7275,1.09,1480,1598,91.3,144.6
3/1/2007,4.4,5.26,100.9023,1.34,1495,1596,88.4,140.5
4/1/2007,4.5,5.25,101.5874,1.04,1490,1470,87.1,142.2
5/1/2007,4.4,5.25,101.6299,1.21,1415,1493,88.3,148.7
6/1/2007,4.6,5.25,101.6482,0.7,1448,1407,85.3,154.1
7/1/2007,4.7,5.26,101.4925,0.51,1354,1361,90.4,151.8
8/1/2007,4.6,5.02,101.6874,0.55,1330,1321,83.4,146.4
